sigla_acao;nome_acao;snome
AALR3;ALLIAR;AALR3-ALLIAR
AAPL34;APPLE;AAPL34-APPLE
ABCB4;ABC BRASIL;ABCB4-ABC BRASIL
ABEV3;AMBEV S-A;ABEV3-AMBEV S-A
ADHM3;ADVANCED-DH;ADHM3-ADVANCED-DH
AFLT3;AFLUENTE T;AFLT3-AFLUENTE T
AGRO3;BRASILAGRO;AGRO3-BRASILAGRO
ALPA3;ALPARGATAS;ALPA3-ALPARGATAS
ALPA4;ALPARGATAS;ALPA4-ALPARGATAS
ALSO3;ALIANSCSONAE;ALSO3-ALIANSCSONAE
ALUP3;ALUPAR;ALUP3-ALUPAR
ALUP4;ALUPAR;ALUP4-ALUPAR
ALUP11;ALUPAR;ALUP11-ALUPAR
AMAR3;LOJAS MARISA;AMAR3-LOJAS MARISA
AMZO34;AMAZON;AMZO34-AMAZON
ANIM3;ANIMA;ANIM3-ANIMA
APER3;ALPER S.A.;APER3-ALPER S.A.
ARZZ3;AREZZO CO;ARZZ3-AREZZO CO
ATOM3;ATOMPAR;ATOM3-ATOMPAR
ATTB34;ATT INC;ATTB34-ATT INC
AZUL4;AZUL;AZUL4-AZUL
B3SA3;B3;B3SA3-B3
BABA34;ALIBABAGR;BABA34-ALIBABAGR
BAHI3;BAHEMA;BAHI3-BAHEMA
BAUH4;EXCELSIOR;BAUH4-EXCELSIOR
BAZA3;AMAZONIA;BAZA3-AMAZONIA
BBAS3;BRASIL;BBAS3-BRASIL
BBDC3;BRADESCO;BBDC3-BRADESCO
BBDC4;BRADESCO;BBDC4-BRADESCO
BBRK3;BR BROKERS;BBRK3-BR BROKERS
BBSE3;BBSEGURIDADE;BBSE3-BBSEGURIDADE
BCSA34;SANTANDER;BCSA34-SANTANDER
BEEF3;MINERVA;BEEF3-MINERVA
BEES3;BANESTES;BEES3-BANESTES
BEES4;BANESTES;BEES4-BANESTES
BERK34;BERKSHIRE;BERK34-BERKSHIRE
BGIP4;BANESE;BGIP4-BANESE
BIDI3;BANCO INTER;BIDI3-BANCO INTER
BIDI4;BANCO INTER;BIDI4-BANCO INTER
BIDI11;BANCO INTER;BIDI11-BANCO INTER
BIOM3;BIOMM;BIOM3-BIOMM
BKBR3;BK BRASIL;BKBR3-BK BRASIL
BMEB3;MERC BRASIL;BMEB3-MERC BRASIL
BMEB4;MERC BRASIL;BMEB4-MERC BRASIL
BMGB4;BANCO BMG;BMGB4-BANCO BMG
BMKS3;BIC MONARK;BMKS3-BIC MONARK
BNBR3;NORD BRASIL;BNBR3-NORD BRASIL
BOAC34;BANK AMERICA;BOAC34-BANK AMERICA
BOBR4;BOMBRIL;BOBR4-BOMBRIL
BPAC3;BTGP BANCO;BPAC3-BTGP BANCO
BPAC5;BTGP BANCO;BPAC5-BTGP BANCO
BPAC11;BTGP BANCO;BPAC11-BTGP BANCO
BPAN4;BANCO PAN;BPAN4-BANCO PAN
BRAP3;BRADESPAR;BRAP3-BRADESPAR
BRAP4;BRADESPAR;BRAP4-BRADESPAR
BRDT3;PETROBRAS BR;BRDT3-PETROBRAS BR
BRFS3;BRF SA;BRFS3-BRF SA
BRGE3;ALFA CONSORC;BRGE3-ALFA CONSORC
BRGE5;ALFA CONSORC;BRGE5-ALFA CONSORC
BRGE8;ALFA CONSORC;BRGE8-ALFA CONSORC
BRGE11;ALFA CONSORC;BRGE11-ALFA CONSORC
BRGE12;ALFA CONSORC;BRGE12-ALFA CONSORC
BRIV3;ALFA INVEST;BRIV3-ALFA INVEST
BRIV4;ALFA INVEST;BRIV4-ALFA INVEST
BRKM3;BRASKEM;BRKM3-BRASKEM
BRKM5;BRASKEM;BRKM5-BRASKEM
BRML3;BR MALLS PAR;BRML3-BR MALLS PAR
BRPR3;BR PROPERT;BRPR3-BR PROPERT
BRSR3;BANRISUL;BRSR3-BANRISUL
BRSR6;BANRISUL;BRSR6-BANRISUL
BSEV3;BIOSEV;BSEV3-BIOSEV
BTOW3;B2W DIGITAL;BTOW3-B2W DIGITAL
BTTL3;BATTISTELLA;BTTL3-BATTISTELLA
CAMB3;CAMBUCI;CAMB3-CAMBUCI
CAML3;CAMIL;CAML3-CAMIL
CARD3;CSU CARDSYST;CARD3-CSU CARDSYST
CBEE3;AMPLA ENERG;CBEE3-AMPLA ENERG
CCPR3;CYRE COM-CCP;CCPR3-CYRE COM-CCP
CCRO3;CCR SA;CCRO3-CCR SA
CEAB3;CEA MODAS;CEAB3-CEA MODAS
CEBR3;CEB;CEBR3-CEB
CEBR5;CEB;CEBR5-CEB
CEBR6;CEB;CEBR6-CEB
CEDO4;CEDRO;CEDO4-CEDRO
CEEB3;COELBA;CEEB3-COELBA
CEGR3;CEG;CEGR3-CEG
CESP3;CESP;CESP3-CESP
CESP6;CESP;CESP6-CESP
CGAS3;COMGAS;CGAS3-COMGAS
CGAS5;COMGAS;CGAS5-COMGAS
CGRA3;GRAZZIOTIN;CGRA3-GRAZZIOTIN
CGRA4;GRAZZIOTIN;CGRA4-GRAZZIOTIN
CHKE34;CHESAPEAKE;CHKE34-CHESAPEAKE
CHVX34;CHEVRON;CHVX34-CHEVRON
CIEL3;CIELO;CIEL3-CIELO
CLSC4;CELESC;CLSC4-CELESC
CMCS34;COMCAST;CMCS34-COMCAST
CMIG3;CEMIG;CMIG3-CEMIG
CMIG4;CEMIG;CMIG4-CEMIG
CNTO3;CENTAURO;CNTO3-CENTAURO
COCE5;COELCE;COCE5-COELCE
COGN3;COGNA ON;COGN3-COGNA ON
COPH34;COPHILLIPS;COPH34-COPHILLIPS
COWC34;COSTCO;COWC34-COSTCO
CPFE3;CPFL ENERGIA;CPFE3-CPFL ENERGIA
CPLE3;COPEL;CPLE3-COPEL
CPLE6;COPEL;CPLE6-COPEL
CPRE3;CPFL RENOVAV;CPRE3-CPFL RENOVAV
CRDE3;CR2;CRDE3-CR2
CRFB3;CARREFOUR BR;CRFB3-CARREFOUR BR
CRIV3;ALFA FINANC;CRIV3-ALFA FINANC
CRIV4;ALFA FINANC;CRIV4-ALFA FINANC
CRPG5;CRISTAL;CRPG5-CRISTAL
CRPG6;CRISTAL;CRPG6-CRISTAL
CSAB4;SEG AL BAHIA;CSAB4-SEG AL BAHIA
CSAN3;COSAN;CSAN3-COSAN
CSMG3;COPASA;CSMG3-COPASA
CSNA3;SID NACIONAL;CSNA3-SID NACIONAL
CTGP34;CITIGROUP;CTGP34-CITIGROUP
CTNM3;COTEMINAS;CTNM3-COTEMINAS
CTNM4;COTEMINAS;CTNM4-COTEMINAS
CTSA3;SANTANENSE;CTSA3-SANTANENSE
CTSA4;SANTANENSE;CTSA4-SANTANENSE
CVCB3;CVC BRASIL;CVCB3-CVC BRASIL
CVSH34;CVS HEALTH;CVSH34-CVS HEALTH
CYRE3;CYRELA REALT;CYRE3-CYRELA REALT
DASA3;DASA;DASA3-DASA
DIRR3;DIRECIONAL;DIRR3-DIRECIONAL
DISB34;WALT DISNEY;DISB34-WALT DISNEY
DMMO3;DOMMO;DMMO3-DOMMO
DTCY3;DTCOM-DIRECT;DTCY3-DTCOM-DIRECT
DTEX3;DURATEX;DTEX3-DURATEX
EALT3;ACO ALTONA;EALT3-ACO ALTONA
EALT4;ACO ALTONA;EALT4-ACO ALTONA
ECOR3;ECORODOVIAS;ECOR3-ECORODOVIAS
EEEL3;CEEE-GT;EEEL3-CEEE-GT
EGIE3;ENGIE BRASIL;EGIE3-ENGIE BRASIL
EKTR3;ELEKTRO;EKTR3-ELEKTRO
EKTR4;ELEKTRO;EKTR4-ELEKTRO
ELEK4;ELEKEIROZ;ELEK4-ELEKEIROZ
ELET3;ELETROBRAS;ELET3-ELETROBRAS
ELET6;ELETROBRAS;ELET6-ELETROBRAS
EMAE4;EMAE;EMAE4-EMAE
EMBR3;EMBRAER;EMBR3-EMBRAER
ENAT3;ENAUTA PART;ENAT3-ENAUTA PART
ENBR3;ENERGIAS BR;ENBR3-ENERGIAS BR
ENEV3;ENEVA;ENEV3-ENEVA
ENGI3;ENERGISA;ENGI3-ENERGISA
ENGI4;ENERGISA;ENGI4-ENERGISA
ENGI11;ENERGISA;ENGI11-ENERGISA
ENMA3B;CEMAR;ENMA3B-CEMAR
ENMT3;ENERGISA MT;ENMT3-ENERGISA MT
ENMT4;ENERGISA MT;ENMT4-ENERGISA MT
EQPA3;EQTL PARA;EQPA3-EQTL PARA
EQPA6;EQTL PARA;EQPA6-EQTL PARA
EQPA7;EQTL PARA;EQPA7-EQTL PARA
EQTL3;EQUATORIAL;EQTL3-EQUATORIAL
EUCA3;EUCATEX;EUCA3-EUCATEX
EUCA4;EUCATEX;EUCA4-EUCATEX
EVEN3;EVEN;EVEN3-EVEN
EXXO34;EXXON MOBIL;EXXO34-EXXON MOBIL
EZTC3;EZTEC;EZTC3-EZTEC
FBOK34;FACEBOOK;FBOK34-FACEBOOK
FESA4;FERBASA;FESA4-FERBASA
FLRY3;FLEURY;FLRY3-FLEURY
FRAS3;FRAS-LE;FRAS3-FRAS-LE
GBIO33;BIOTOSCANA;GBIO33-BIOTOSCANA
GEOO34;GE;GEOO34-GE
GEPA3;GER PARANAP;GEPA3-GER PARANAP
GEPA4;GER PARANAP;GEPA4-GER PARANAP
GFSA3;GAFISA;GFSA3-GAFISA
GGBR3;GERDAU;GGBR3-GERDAU
GGBR4;GERDAU;GGBR4-GERDAU
GNDI3;INTERMEDICA;GNDI3-INTERMEDICA
GOAU3;GERDAU MET;GOAU3-GERDAU MET
GOAU4;GERDAU MET;GOAU4-GERDAU MET
GOGL34;ALPHABET;GOGL34-ALPHABET
GOGL35;ALPHABET;GOGL35-ALPHABET
GOLL4;GOL;GOLL4-GOL
GPIV33;GP INVEST;GPIV33-GP INVEST
GPRK34;GEOPARK LTD;GPRK34-GEOPARK LTD
GRND3;GRENDENE;GRND3-GRENDENE
GSHP3;GENERALSHOPP;GSHP3-GENERALSHOPP
GUAR3;GUARARAPES;GUAR3-GUARARAPES
HAGA3;HAGA S-A;HAGA3-HAGA S-A
HAGA4;HAGA S-A;HAGA4-HAGA S-A
HAPV3;HAPVIDA;HAPV3-HAPVIDA
HBOR3;HELBOR;HBOR3-HELBOR
HETA4;HERCULES;HETA4-HERCULES
HGTX3;CIA HERING;HGTX3-CIA HERING
HOME34;HOME DEPOT;HOME34-HOME DEPOT
HYPE3;HYPERA;HYPE3-HYPERA
IBMB34;IBM;IBMB34-IBM
IDNT3;IDEIASNET;IDNT3-IDEIASNET
IDVL3;INDUSVAL;IDVL3-INDUSVAL
IDVL4;INDUSVAL;IDVL4-INDUSVAL
IGTA3;IGUATEMI;IGTA3-IGUATEMI
IRBR3;IRBBRASIL RE;IRBR3-IRBBRASIL RE
ITLC34;INTEL;ITLC34-INTEL
ITSA3;ITAUSA;ITSA3-ITAUSA
ITSA4;ITAUSA;ITSA4-ITAUSA
ITUB3;ITAUUNIBANCO;ITUB3-ITAUUNIBANCO
ITUB4;ITAUUNIBANCO;ITUB4-ITAUUNIBANCO
JBDU3;J B DUARTE;JBDU3-J B DUARTE
JBDU4;J B DUARTE;JBDU4-J B DUARTE
JBSS3;JBS;JBSS3-JBS
JFEN3;JOAO FORTES;JFEN3-JOAO FORTES
JHSF3;JHSF PART;JHSF3-JHSF PART
JNJB34;JOHNSON;JNJB34-JOHNSON
JPMC34;JPMORGAN;JPMC34-JPMORGAN
JPSA3;JEREISSATI;JPSA3-JEREISSATI
JSLG3;JSL;JSLG3-JSL
K1SS34;KOHLS CORP;K1SS34-KOHLS CORP
KEPL3;KEPLER WEBER;KEPL3-KEPLER WEBER
KLBN3;KLABIN S-A;KLBN3-KLABIN S-A
KLBN4;KLABIN S-A;KLBN4-KLABIN S-A
KLBN11;KLABIN S-A;KLBN11-KLABIN S-A
LAME3;LOJAS AMERIC;LAME3-LOJAS AMERIC
LAME4;LOJAS AMERIC;LAME4-LOJAS AMERIC
LCAM3;LOCAMERICA;LCAM3-LOCAMERICA
LEVE3;METAL LEVE;LEVE3-METAL LEVE
LIGT3;LIGHT S-A;LIGT3-LIGHT S-A
LINX3;LINX;LINX3-LINX
LIPR3;ELETROPAR;LIPR3-ELETROPAR
LLIS3;LE LIS BLANC;LLIS3-LE LIS BLANC
LOGG3;LOG COM PROP;LOGG3-LOG COM PROP
LOGN3;LOG-IN;LOGN3-LOG-IN
LPSB3;LOPES BRASIL;LPSB3-LOPES BRASIL
LREN3;LOJAS RENNER;LREN3-LOJAS RENNER
LUXM4;TREVISA;LUXM4-TREVISA
MACY34;MACY S;MACY34-MACY S
MCDC34;MCDONALDS;MCDC34-MCDONALDS
MDIA3;M.DIASBRANCO;MDIA3-M.DIASBRANCO
MEAL3;IMC S-A;MEAL3-IMC S-A
MELI34;MERCADOLIBRE;MELI34-MERCADOLIBRE
MERC4;MERC FINANC;MERC4-MERC FINANC
MGEL4;MANGELS INDL;MGEL4-MANGELS INDL
MGLU3;MAGAZ LUIZA;MGLU3-MAGAZ LUIZA
MILS3;MILLS;MILS3-MILLS
MNDL3;MUNDIAL;MNDL3-MUNDIAL
MNPR3;MINUPAR;MNPR3-MINUPAR
MOAR3;MONT ARANHA;MOAR3-MONT ARANHA
MOVI3;MOVIDA;MOVI3-MOVIDA
MRFG3;MARFRIG;MRFG3-MARFRIG
MRVE3;MRV;MRVE3-MRV
MSCD34;MASTERCARD;MSCD34-MASTERCARD
MSFT34;MICROSOFT;MSFT34-MICROSOFT
MTSA4;METISA;MTSA4-METISA
MULT3;MULTIPLAN;MULT3-MULTIPLAN
MUTC34;MICRON TECHN;MUTC34-MICRON TECHN
MYPK3;IOCHP-MAXION;MYPK3-IOCHP-MAXION
NEOE3;NEOENERGIA;NEOE3-NEOENERGIA
NFLX34;NETFLIX;NFLX34-NETFLIX
NORD3;NORDON MET;NORD3-NORDON MET
NTCO3;GRUPO NATURA;NTCO3-GRUPO NATURA
ODPV3;ODONTOPREV;ODPV3-ODONTOPREV
OFSA3;OUROFINO S-A;OFSA3-OUROFINO S-A
OMGE3;OMEGA GER;OMGE3-OMEGA GER
PARD3;IHPARDINI;PARD3-IHPARDINI
PCAR4;P.ACUCAR-CBD;PCAR4-P.ACUCAR-CBD
PEPB34;PEPSICO INC;PEPB34-PEPSICO INC
PETR3;PETROBRAS;PETR3-PETROBRAS
PETR4;PETROBRAS;PETR4-PETROBRAS
PFIZ34;PFIZER;PFIZ34-PFIZER
PFRM3;PROFARMA;PFRM3-PROFARMA
PGCO34;PG;PGCO34-PG
PINE4;PINE;PINE4-PINE
PLAS3;PLASCAR PART;PLAS3-PLASCAR PART
PMAM3;PARANAPANEMA;PMAM3-PARANAPANEMA
PNVL4;DIMED;PNVL4-DIMED
POMO3;MARCOPOLO;POMO3-MARCOPOLO
POMO4;MARCOPOLO;POMO4-MARCOPOLO
POSI3;POSITIVO TEC;POSI3-POSITIVO TEC
PPLA11;PPLA;PPLA11-PPLA
PRIO3;PETRORIO;PRIO3-PETRORIO
PSSA3;PORTO SEGURO;PSSA3-PORTO SEGURO
PTBL3;PORTOBELLO;PTBL3-PORTOBELLO
PTNT4;PETTENATI;PTNT4-PETTENATI
PYPL34;PAYPAL HOLD;PYPL34-PAYPAL HOLD
QUAL3;QUALICORP;QUAL3-QUALICORP
RADL3;RAIADROGASIL;RADL3-RAIADROGASIL
RAIL3;RUMO S.A.;RAIL3-RUMO S.A.
RANI3;CELUL IRANI;RANI3-CELUL IRANI
RANI4;CELUL IRANI;RANI4-CELUL IRANI
RAPT3;RANDON PART;RAPT3-RANDON PART
RAPT4;RANDON PART;RAPT4-RANDON PART
RCSL3;RECRUSUL;RCSL3-RECRUSUL
RCSL4;RECRUSUL;RCSL4-RECRUSUL
RDNI3;RNI;RDNI3-RNI
REDE3;REDE ENERGIA;REDE3-REDE ENERGIA
RENT3;LOCALIZA;RENT3-LOCALIZA
RLOG3;COSAN LOG;RLOG3-COSAN LOG
ROMI3;INDS ROMI;ROMI3-INDS ROMI
RPAD3;ALFA HOLDING;RPAD3-ALFA HOLDING
RPAD5;ALFA HOLDING;RPAD5-ALFA HOLDING
RPAD6;ALFA HOLDING;RPAD6-ALFA HOLDING
RSID3;ROSSI RESID;RSID3-ROSSI RESID
RSUL4;RIOSULENSE;RSUL4-RIOSULENSE
SANB3;SANTANDER BR;SANB3-SANTANDER BR
SANB4;SANTANDER BR;SANB4-SANTANDER BR
SANB11;SANTANDER BR;SANB11-SANTANDER BR
SAPR3;SANEPAR;SAPR3-SANEPAR
SAPR4;SANEPAR;SAPR4-SANEPAR
SAPR11;SANEPAR;SAPR11-SANEPAR
SBSP3;SABESP;SBSP3-SABESP
SBUB34;STARBUCKS;SBUB34-STARBUCKS
SCAR3;SAO CARLOS;SCAR3-SAO CARLOS
SEER3;SER EDUCA;SEER3-SER EDUCA
SGPS3;SPRINGS;SGPS3-SPRINGS
SHOW3;TIME FOR FUN;SHOW3-TIME FOR FUN
SHUL4;SCHULZ;SHUL4-SCHULZ
SLCE3;SLC AGRICOLA;SLCE3-SLC AGRICOLA
SMLS3;SMILES;SMLS3-SMILES
SMTO3;SAO MARTINHO;SMTO3-SAO MARTINHO
SPRI3;SPRINGER;SPRI3-SPRINGER
SPRI6;SPRINGER;SPRI6-SPRINGER
SQIA3;SINQIA;SQIA3-SINQIA
STBP3;SANTOS BRP;STBP3-SANTOS BRP
SULA3;SUL AMERICA;SULA3-SUL AMERICA
SULA4;SUL AMERICA;SULA4-SUL AMERICA
SULA11;SUL AMERICA;SULA11-SUL AMERICA
SUZB3;SUZANO S.A.;SUZB3-SUZANO S.A.
TAEE3;TAESA;TAEE3-TAESA
TAEE4;TAESA;TAEE4-TAESA
TAEE11;TAESA;TAEE11-TAESA
TASA3;TAURUS ARMAS;TASA3-TAURUS ARMAS
TASA4;TAURUS ARMAS;TASA4-TAURUS ARMAS
TCSA3;TECNISA;TCSA3-TECNISA
TECN3;TECHNOS;TECN3-TECHNOS
TELB4;TELEBRAS;TELB4-TELEBRAS
TEND3;TENDA;TEND3-TENDA
TESA3;TERRA SANTA;TESA3-TERRA SANTA
TEXA34;TEXAS INC;TEXA34-TEXAS INC
TGMA3;TEGMA;TGMA3-TEGMA
TIET3;AES TIETE E;TIET3-AES TIETE E
TIET4;AES TIETE E;TIET4-AES TIETE E
TIET11;AES TIETE E;TIET11-AES TIETE E
TIMP3;TIM PART S-A;TIMP3-TIM PART S-A
TOTS3;TOTVS;TOTS3-TOTVS
TRIS3;TRISUL;TRIS3-TRISUL
TRPL3;TRAN PAULIST;TRPL3-TRAN PAULIST
TRPL4;TRAN PAULIST;TRPL4-TRAN PAULIST
TSLA34;TESLA INC;TSLA34-TESLA INC
TUPY3;TUPY;TUPY3-TUPY
UCAS3;UNICASA;UCAS3-UNICASA
UGPA3;ULTRAPAR;UGPA3-ULTRAPAR
UNHH34;UNITEDHEALTH;UNHH34-UNITEDHEALTH
UNIP3;UNIPAR;UNIP3-UNIPAR
UNIP5;UNIPAR;UNIP5-UNIPAR
UNIP6;UNIPAR;UNIP6-UNIPAR
USIM3;USIMINAS;USIM3-USIMINAS
USIM5;USIMINAS;USIM5-USIMINAS
USSX34;US STEEL;USSX34-US STEEL
VALE3;VALE;VALE3-VALE
VERZ34;VERIZON;VERZ34-VERIZON
VISA34;VISA INC;VISA34-VISA INC
VIVA3;VIVARA S.A.;VIVA3-VIVARA S.A.
VIVT3;TELEF BRASIL;VIVT3-TELEF BRASIL
VIVT4;TELEF BRASIL;VIVT4-TELEF BRASIL
VLID3;VALID;VLID3-VALID
VULC3;VULCABRAS;VULC3-VULCABRAS
VVAR3;VIAVAREJO;VVAR3-VIAVAREJO
WALM34;WAL MART;WALM34-WAL MART
WEGE3;WEG;WEGE3-WEG
WFCO34;WELLS FARGO;WFCO34-WELLS FARGO
WHRL3;WHIRLPOOL;WHRL3-WHIRLPOOL
WHRL4;WHIRLPOOL;WHRL4-WHIRLPOOL
WIZS3;WIZ S.A.;WIZS3-WIZ S.A.
WLMM3;WLM IND COM;WLMM3-WLM IND COM
WLMM4;WLM IND COM;WLMM4-WLM IND COM
WSON33;WILSON SONS;WSON33-WILSON SONS
XRXB34;XEROX CORP;XRXB34-XEROX CORP
YDUQ3;YDUQS PART;YDUQ3-YDUQS PART
ABTT34;ABBOTT;ABTT34-ABBOTT
ABUD34;AB INBEV;ABUD34-AB INBEV
ACNB34;ACCENTURE;ACNB34-ACCENTURE
ADBE34;ADOBE INC;ADBE34-ADOBE INC
ADPR34;AUTOMATIC DT;ADPR34-AUTOMATIC DT
AMGN34;AMGEN;AMGN34-AMGEN
ARMT34;ARCELOR;ARMT34-ARCELOR
ASML34;ASML HOLD;ASML34-ASML HOLD
AVGO34;BROADCOM INC;AVGO34-BROADCOM INC
AWII34;ARMSTRONG;AWII34-ARMSTRONG
AXPB34;AMERICAN EXP;AXPB34-AMERICAN EXP
BALM4;BAUMER;BALM4-BAUMER
BHPG34;BHP GROUP;BHPG34-BHP GROUP
BIIB34;BIOGEN;BIIB34-BIOGEN
BKNG34;BOOKING;BKNG34-BOOKING
BLAK34;BLACKROCK;BLAK34-BLACKROCK
BMYB34;BRISTOLMYERS;BMYB34-BRISTOLMYERS
BOEI34;BOEING;BOEI34-BOEING
BONY34;BNY MELLON;BONY34-BNY MELLON
A1DM34;ARCHER DANIE;A1DM34-ARCHER DANIE
A1LX34;ALEXION PHAR;A1LX34-ALEXION PHAR
ABBV34;ABBVIE;ABBV34-ABBVIE
ATVI34;ACTIVISION;ATVI34-ACTIVISION
BILB34;BILBAOVIZ;BILB34-BILBAOVIZ
BOXP34;BOSTON PROP;BOXP34-BOSTON PROP
BRKM6;BRASKEM;BRKM6-BRASKEM
BRSR5;BANRISUL;BRSR5-BANRISUL
CATP34;CATERPILLAR;CATP34-CATERPILLAR
CEDO3;CEDRO;CEDO3-CEDRO
CHCM34;CHARTER COMM;CHCM34-CHARTER COMM
CHME34;CME GROUP;CHME34-CME GROUP
CNIC34;CANAD NATION;CNIC34-CANAD NATION
COCA34;COCA COLA;COCA34-COCA COLA
COLG34;COLGATE;COLG34-COLGATE
CRIP34;CTRIPCOM;CRIP34-CTRIPCOM
CSCO34;CISCO;CSCO34-CISCO
CSRN3;COSERN;CSRN3-COSERN
CSXC34;CSX CORP;CSXC34-CSX CORP
CTKA4;KARSTEN;CTKA4-KARSTEN
DBAG34;DEUTSCHE AK;DBAG34-DEUTSCHE AK
DDNB34;DUPONT N INC;DDNB34-DUPONT N INC
DEEC34;DEERE CO;DEEC34-DEERE CO
DEOP34;DIAGEO PL;DEOP34-DIAGEO PL
DHER34;DANAHER CORP;DHER34-DANAHER CORP
DOHL4;DOHLER;DOHL4-DOHLER
DUKB34;DUKE ENERGY;DUKB34-DUKE ENERGY
EBAY34;EBAY;EBAY34-EBAY
EQIX34;EQUINIX INC;EQIX34-EQUINIX INC
EQPA5;EQTL PARA;EQPA5-EQTL PARA
F1NI34;FIDELITY NAT;F1NI34-FIDELITY NAT
FDMO34;FORD MOTORS;FDMO34-FORD MOTORS
